Project Name ,Developer Name,Location,Asset Type,Unit Type,BUA,Land Area,Garden,Unit Price,PSM,Payment yrs raw,Payment Yrs,Down Payment ,Delivery %,Cash discount,Delivery Date,Finishing Specs.,Maintenance,Phase,Date of Update,Updated by,Source of info.,Months from Update,Notes,Offering
Mountain View Hyde Park,Mountain View,6th Settlement,Residential,Apartment,200,,,20340201,101701.005,7,7 Yrs,0.15,,,RTM,Core & Shell,,,2025-09-30,Farah,Nawy,04,,Sell
Evia Mountain View,Mountain View,Ras El Hekma,Residential,Townhouse,170,,,23817321,140101.8882,8,8 Yrs,0.1,,,2028,Core & Shell,,,2025-09-30,Farah,Nawy,04,"5% down payment,5% after 6 months",Rent
Evia Mountain View,Mountain View,Ras El Hekma,Residential,Chalet,85,,,11642181,136966.8353,8,8 Yrs,0.1,,,2028,Core & Shell,,,2025-09-25,Farah,Nawy,04,"5% down payment,5% after 6 months",Sell
Mountain View Icity October,Mountain View,6th of October,Residential,Apartment,110,,,9376809,85243.71818,9,9 Yrs - 12 Yrs,0.05,,,2028,Core & Shell,,,2025-09-26,Farah,Nawy,04,Club Park Icity October,Sell
Mountain View Icity October,Mountain View,6th of October,Residential,Apartment,115,,,12770829,111050.687,12,9 Yrs - 12 Yrs,0.03,,,2030,Core & Shell,,,2025-09-27,Farah,Nawy,04,"1.5% down payment,1.5 after month (Laggon Beach House)",Rent
Mountain View Icity October,Mountain View,6th of October,Residential,Villa,175,,,16704644,95455.10857,5,5 Yrs - 8 Yrs,0.15,,,2028,Core & Shell,,,2025-09-28,Farah,Nawy,04,Club Park Icity October,Sell
Mountain View Icity October,Mountain View,6th of October,Residential,Villa,385,,,56641787,147121.5247,8,5 Yrs - 8 Yrs,0.15,,,2028,Core & Shell,,,2025-09-29,Farah,Nawy,04,"10% down payment,5% after one year(MV Park Lake House)",Rent
LVLS Mountain View,Mountain View,Ras El Hekma,Residential,Townhouse,180,,,28936977,160760.9833,7,7 Yrs,0.15,,,2028,Core & Shell,,,2025-09-30,Farah,Nawy,04,"10% down payment,5% on Delivary",Sell
ONE 33,Arkan Palm ,El Sheikh Zayed,Residential,Apartment,85,,,5503472,64746.72941,10,10 Yrs,0.1,,,2029,Semi-Finished,,,2025-09-25,Farah,Nawy,04,"5%DM (8Yrs-10Yrs),10% DM(10Yrs)",Sell
ONE 33,Arkan Palm ,El Sheikh Zayed,Residential,Duplex,244,,,16876941,69167.79098,10,10 Yrs,0.1,,,2029,Semi-Finished,,,2025-09-02,Farah,Nawy,05,"5%DM (8Yrs-10Yrs),10% DM(10Yrs)",Sell
ONE 33,Arkan Palm ,El Sheikh Zayed,Residential,Penthouse,118,,,13878663,117615.7881,10,10 Yrs,0.1,,,2029,Fully Finished,,,2025-09-03,Farah,Nawy,05,"5%DM (8Yrs-10Yrs),10% DM(10Yrs)",Rent
Rai Valleys,Madinet Masr,Mostakbal City,Residential,Duplex,212,,,17687170,83430.04717,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-09-04,Farah,Nawy,05,,Rent
The Butterfly,Madinet Masr,Mostakbal City,Residential,Duplex,212,,,17274575,81483.84434,12,12 Yrs,0.05,,,2030,Core & Shell,,,2025-09-05,Farah,Nawy,05,,Rent
The Butterfly,Madinet Masr,Mostakbal City,Residential,Duplex,239,,,20019248,83762.54393,12,12 Yrs,0.05,,,2030,Core & Shell,,,2025-09-06,Farah,Nawy,05,,Sell
Rai Valleys,Madinet Masr,Mostakbal City,Residential,Villa,206,,64.9,17222985.68,83606.7266,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-09-25,Nour,Direct Sales,04,Roof = 15m2,Sell
Rai Valleys,Madinet Masr,Mostakbal City,Residential,Villa,212,,156.8,18532753.93,87418.65061,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-09-25,Nour,Direct Sales,04,Roof = 15m2,Rent
